,Data,Cota,Variação,fund_id,PL
288,2013-05-02,1.1349423,-0.0034275931,26,4983464.5
289,2013-05-03,1.1374205,0.0021835471,26,4994346.51
290,2013-05-06,1.1310607,-0.0055914238,26,4966420.68
291,2013-05-07,1.1273431,-0.0032868263,26,4950097.14
292,2013-05-08,1.1272441,-0.0000878171,26,4949662.26
293,2013-05-09,1.1277485,0.000447463,26,4951877.37
294,2013-05-10,1.1329628,0.0046236373,26,4974772.75
295,2013-05-13,1.1304337,-0.0022322887,26,4963667.84
296,2013-05-14,1.1331164,0.00237316,26,4975447.38
297,2013-05-15,1.1345892,0.0012997782,26,4981914.32
298,2013-05-16,1.1439079,0.0082132811,26,5022832.31
299,2013-05-17,1.146275,0.00206931,26,5033226.01
300,2013-05-20,1.1494103,0.0027352075,26,5046993.04
301,2013-05-21,1.1487152,-0.0006047449,26,5043940.73
302,2013-05-22,1.1532152,0.0039174201,26,5063700.02
303,2013-05-23,1.1495234,-0.0032013106,26,5047489.5
304,2013-05-24,1.1509541,0.0012446028,26,5053771.38
305,2013-05-27,1.1543363,0.0029386055,26,5068622.49
306,2013-05-28,1.1593914,0.0043792264,26,5090819.1
307,2013-05-29,1.1706386,0.0097009517,26,5140204.97
308,2013-05-31,1.2315842,0.0520618404,26,5325267.47
309,2013-06-03,1.226346,-0.0042532212,26,5302618.13
310,2013-06-04,1.2315626,0.004253775,26,5325174.29
311,2013-06-05,1.234992,0.0027845925,26,5610002.52
312,2013-06-06,1.2365767,0.0012831662,26,5617201.41
313,2013-06-07,1.2437329,0.0057871056,26,5649708.76
314,2013-06-10,1.25728,0.0108922905,26,5711246.63
315,2013-06-11,1.2589277,0.0013105275,26,5718731.37
316,2013-06-12,1.269814,0.0086472797,26,5768182.97
317,2013-06-13,1.2610285,-0.0069187298,26,5728274.5
318,2013-06-14,1.2639292,0.0023002652,26,5741451.06
319,2013-06-17,1.2928932,0.0229158405,26,5873021.25
320,2013-06-18,1.3038443,0.0084702279,26,5922766.86
321,2013-06-19,1.316064,0.0093720546,26,6078275.57
322,2013-06-20,1.3567081,0.0308830726,26,6265991.25
323,2013-06-21,1.3549225,-0.0013161269,26,6257744.74
324,2013-06-24,1.3251816,-0.0219502591,26,6120385.21
325,2013-06-25,1.3134449,-0.0088566729,26,6066179.07
326,2013-06-26,1.3051676,-0.0063019773,26,6027950.28
327,2013-06-27,1.298512,-0.0050994217,26,5997211.35
328,2013-06-28,1.3197307,0.0163407808,26,6095210.3
329,2013-07-01,1.3191955,-0.0004055373,26,6092738.58
330,2013-07-02,1.3110015,-0.0062113614,26,6054894.38
331,2013-07-03,1.3185412,0.0057510994,26,6089716.6
332,2013-07-04,1.316454,-0.0015829615,26,6080076.79
333,2013-07-05,1.3107244,-0.0043522979,26,6053614.37
334,2013-07-08,1.3159023,0.0039504109,26,6077528.92
335,2013-07-09,1.3166305,0.0005533845,26,6080892.07
336,2013-07-10,1.3255423,0.0067686416,26,6122051.56
337,2013-07-11,1.3217887,-0.0028317467,26,6104715.26
338,2013-07-12,1.3254313,0.0027558111,26,6121538.65
339,2013-07-15,1.3057639,-0.0148384907,26,6030704.52
340,2013-07-16,1.2982253,-0.0057733255,26,5995887.11
341,2013-07-17,1.2979311,-0.0002266171,26,6024528.49
342,2013-07-18,1.2972392,-0.0005330791,26,6021316.78
343,2013-07-19,1.2992941,0.0015840564,26,6030854.85
344,2013-07-22,1.2984193,-0.0006732887,26,6026794.34
345,2013-07-23,1.2975394,-0.0006776701,26,6022709.99
346,2013-07-24,1.2985625,0.0007884924,26,6027459.13
347,2013-07-25,1.2932235,-0.0041114694,26,6002677.49
348,2013-07-26,1.2942484,0.0007925158,26,6007434.77
349,2013-07-29,1.2964767,0.0017216942,26,6017777.32
350,2013-07-30,1.3010082,0.0034952421,26,6038811.3
351,2013-07-31,1.2981288,-0.0022132067,26,6075445.92
352,2013-08-01,1.2978249,-0.0002341062,26,6074023.51
353,2013-08-02,1.289888,-0.0061155399,26,6036877.64
354,2013-08-05,1.296833,0.0053841884,26,6069381.33
355,2013-08-06,1.2997198,0.0022260384,26,6082891.98
356,2013-08-07,1.2958955,-0.0029424034,26,6064993.68
357,2013-08-08,1.2778199,-0.0139483469,26,5980396.91
358,2013-08-09,1.2564703,-0.0167078318,26,5880477.72
359,2013-08-12,1.268227,0.0093569263,26,5935501.09
360,2013-08-13,1.2827171,0.0114254782,26,6003316.69
361,2013-08-14,1.2848644,0.0016740246,26,6013366.47
362,2013-08-15,1.2838204,-0.0008125371,26,6008480.57
363,2013-08-16,1.3515158,0.0527296497,26,6325305.51
364,2013-08-19,1.3889912,0.0277284217,26,6500696.31
365,2013-08-20,1.3542601,-0.0250045501,26,6338149.36
366,2013-08-21,1.3816038,0.0201908777,26,6466121.99
367,2013-08-22,1.3696584,-0.0086460388,26,6410215.78
368,2013-08-23,1.3062724,-0.0462786926,26,6113559.48
369,2013-08-26,1.3376127,0.0239921627,26,6260236.57
370,2013-08-27,1.3438132,0.0046354973,26,6289256.25
371,2013-08-28,1.323266,-0.0152902204,26,6193091.91
372,2013-08-29,1.3530712,0.0225239672,26,6332585.01
373,2013-08-30,1.3665896,0.0099909007,26,6395853.35
374,2013-09-02,1.359172,-0.0054278183,26,7011137.64
375,2013-09-03,1.3602091,0.0007630381,26,7016487.68
376,2013-09-04,1.3554161,-0.0035237229,26,6991763.28
377,2013-09-05,1.3387607,-0.0122880346,26,6905848.11
378,2013-09-06,1.3218765,-0.0126118133,26,6818752.86
379,2013-09-09,1.3203272,-0.001172046,26,6810761.3
380,2013-09-10,1.3177976,-0.0019158887,26,6797712.52
381,2013-09-11,1.3245501,0.0051240798,26,6832544.73
382,2013-09-12,1.3419049,0.0131024112,26,6947067.4
383,2013-09-13,1.3347909,-0.0053014189,26,6910238.07
384,2013-09-16,1.3350038,0.0001595006,26,6911339.98
385,2013-09-17,1.333759,-0.0009324318,26,6904895.93
386,2013-09-18,1.3036446,-0.0225785918,26,6848992.8
387,2013-09-19,1.3048327,0.000911368,26,6855235.12
388,2013-09-20,1.3023992,-0.00186499,26,6842449.92
389,2013-09-23,1.3096395,0.0055592018,26,6880488.78
390,2013-09-24,1.3145699,0.0037647001,26,6906391.49
391,2013-09-25,1.3017226,-0.0097730064,26,6838895.24
392,2013-09-26,1.2966438,-0.0039015993,26,6812212.46
393,2013-09-27,1.2917892,-0.0037439735,26,6836708.01
394,2013-09-30,1.2927162,0.0007176093,26,6841613.86
395,2013-10-01,1.2950432,0.0018000857,26,6853929.78
396,2013-10-02,1.2957649,0.0005572787,26,6857749.07
397,2013-10-03,1.2982827,0.0019430994,26,6871074.42
398,2013-10-04,1.2962866,-0.0015374926,26,6860509.94
399,2013-10-07,1.2995138,0.0024895729,26,6877589.74
400,2013-10-08,1.3022985,0.0021428784,26,6892327.68
401,2013-10-09,1.3020862,-0.0001630195,26,6891204.03
402,2013-10-10,1.3060322,0.0030305213,26,6912088.1
403,2013-10-11,1.3121966,0.0047199449,26,6944712.74
404,2013-10-14,1.303117,-0.00691939,26,6896659.52
405,2013-10-15,1.3034693,0.0002703518,26,6898524.21
406,2013-10-16,1.3087097,0.0040203479,26,6926258.47
407,2013-10-17,1.316892,0.0062521887,26,6969563.04
408,2013-10-18,1.3127006,-0.0031827971,26,6947380.41
409,2013-10-21,1.3088713,-0.0029171161,26,6927113.79
410,2013-10-22,1.3032301,-0.004309973,26,6897257.98
411,2013-10-23,1.2979971,-0.0040154076,26,6869562.97
